1.201916408538818359e+01 3.985914289951324463e-01 5.803003907203674316e-01 6.207259893417358398e-01 2.468815594911575317e-01 4.197097718715667725e-01 1.540433168411254883e-01 2.256567031145095825e-01 1.097428202629089355e-01 1.954734325408935547e-01 8.331114798784255981e-02 1.273083984851837158e-01 1.020339131355285645e-01 7.524508237838745117e-02 6.980314105749130249e-02 6.590288877487182617e-02 5.488379672169685364e-02 6.156654655933380127e-02 3.801891207695007324e-02 7.487840950489044189e-02 2.541193179786205292e-02 5.579090490937232971e-02 2.827419526875019073e-02 5.213334038853645325e-02 3.588075935840606689e-02
3.512701988220214844e-01 1.341660022735595703e-01 1.285569667816162109e-01 1.270072460174560547e-01 8.706397563219070435e-02 1.216640844941139221e-01 7.459825277328491211e-02 1.022362187504768372e-01 7.775235921144485474e-02 6.027993559837341309e-02 8.781269937753677368e-02 7.292556017637252808e-02 6.921103596687316895e-02 4.815845564007759094e-02 6.631450355052947998e-02 6.031817197799682617e-02 5.599495768547058105e-02 5.516836047172546387e-02 5.768034979701042175e-02 5.750329419970512390e-02 5.098153650760650635e-02 5.744910985231399536e-02 4.753112792968750000e-02 4.118234291672706604e-02 4.598455503582954407e-02
2.808043360710144043e-01 1.538785248994827271e-01 1.441694498062133789e-01 1.175541207194328308e-01 1.373949795961380005e-01 1.000291928648948669e-01 1.135551705956459045e-01 1.046565622091293335e-01 9.617490321397781372e-02 9.033482521772384644e-02 7.938588410615921021e-02 1.199054345488548279e-01 7.194921374320983887e-02 7.953241467475891113e-02 8.265307545661926270e-02 6.867320835590362549e-02 7.548539340496063232e-02 7.567179948091506958e-02 7.107049971818923950e-02 7.260826975107192993e-02 7.335475087165832520e-02 6.604708731174468994e-02 6.801778078079223633e-02 6.592668592929840088e-02 6.514171510934829712e-02
3.305045664310455322e-01 1.787434518337249756e-01 1.554165929555892944e-01 1.755291372537612915e-01 1.343604177236557007e-01 1.352838873863220215e-01 1.190347298979759216e-01 1.286307573318481445e-01 1.249281242489814758e-01 1.224778369069099426e-01 1.232607290148735046e-01 1.099787577986717224e-01 1.111186817288398743e-01 1.161157786846160889e-01 1.151498109102249146e-01 1.004084125161170959e-01 9.622600674629211426e-02 1.095370054244995117e-01 1.053933501243591309e-01 8.922788500785827637e-02 8.973000198602676392e-02 1.159926280379295349e-01 8.271431177854537964e-02 8.590181916952133179e-02 8.514700084924697876e-02
3.439884483814239502e-01 2.079706788063049316e-01 1.862872093915939331e-01 1.815339922904968262e-01 1.672695875167846680e-01 1.684958934783935547e-01 1.512629091739654541e-01 1.598562300205230713e-01 1.456049531698226929e-01 1.565778702497482300e-01 1.449453681707382202e-01 1.410048753023147583e-01 1.531879305839538574e-01 1.376815885305404663e-01 1.272804886102676392e-01 1.282835602760314941e-01 1.336141377687454224e-01 1.335524171590805054e-01 1.240277588367462158e-01 1.343604475259780884e-01 1.213474348187446594e-01 1.117433980107307434e-01 1.193796470761299133e-01 1.041862070560455322e-01 1.153084412217140198e-01
3.462804853916168213e-01 2.454037964344024658e-01 2.083766907453536987e-01 1.939646303653717041e-01 1.883130967617034912e-01 1.883632093667984009e-01 1.706489324569702148e-01 1.468588858842849731e-01 1.885451227426528931e-01 1.621416956186294556e-01 1.612374186515808105e-01 1.602101325988769531e-01 1.511876583099365234e-01 1.539392173290252686e-01 1.585510224103927612e-01 1.459089666604995728e-01 1.333691477775573730e-01 1.342494934797286987e-01 1.464516371488571167e-01 1.279936283826828003e-01 1.443261653184890747e-01 1.454836577177047729e-01 1.367691904306411743e-01 1.299571990966796875e-01 1.286745071411132812e-01
4.794133305549621582e-01 3.409389853477478027e-01 2.959048748016357422e-01 2.789374589920043945e-01 2.422844022512435913e-01 2.508482336997985840e-01 2.382702380418777466e-01 2.379643470048904419e-01 2.328900098800659180e-01 2.251047641038894653e-01 2.157818377017974854e-01 2.201611399650573730e-01 2.057066559791564941e-01 1.964384466409683228e-01 2.020235508680343628e-01 2.090584188699722290e-01 2.090224027633666992e-01 1.852630376815795898e-01 2.057428061962127686e-01 1.923522204160690308e-01 1.885561048984527588e-01 1.836144775152206421e-01 1.739534884691238403e-01 1.763027161359786987e-01 1.615900397300720215e-01
5.377106070518493652e-01 3.843972980976104736e-01 3.571677505970001221e-01 3.128771185874938965e-01 3.193939328193664551e-01 2.917272746562957764e-01 3.058664798736572266e-01 2.796998620033264160e-01 2.799361646175384521e-01 2.705506980419158936e-01 2.834315896034240723e-01 2.527020871639251709e-01 2.632009387016296387e-01 2.799314856529235840e-01 2.486734688282012939e-01 2.430109530687332153e-01 2.504778504371643066e-01 2.416606396436691284e-01 2.368568331003189087e-01 2.189242690801620483e-01 2.438899129629135132e-01 2.527261376380920410e-01 2.326503098011016846e-01 2.096294462680816650e-01 2.222037613391876221e-01
6.511321663856506348e-01 4.624291360378265381e-01 4.273092150688171387e-01 3.975332379341125488e-01 3.613618016242980957e-01 3.469982445240020752e-01 3.393837213516235352e-01 3.229273855686187744e-01 3.089942336082458496e-01 3.376515805721282959e-01 2.992861568927764893e-01 2.998793721199035645e-01 2.977799177169799805e-01 2.996962368488311768e-01 2.866172194480895996e-01 2.979702055454254150e-01 2.997974753379821777e-01 2.801549136638641357e-01 2.788453102111816406e-01 2.829337418079376221e-01 3.014111220836639404e-01 2.598202526569366455e-01 2.735921442508697510e-01 2.770014107227325439e-01 2.753529846668243408e-01
7.214620113372802734e-01 5.194902420043945312e-01 4.429934918880462646e-01 4.447823762893676758e-01 4.114528894424438477e-01 3.803521096706390381e-01 4.058886170387268066e-01 3.786790370941162109e-01 3.817726373672485352e-01 3.894509673118591309e-01 3.599305450916290283e-01 3.628392517566680908e-01 3.421458005905151367e-01 3.543063700199127197e-01 3.399901688098907471e-01 3.435145318508148193e-01 3.398462533950805664e-01 3.289921581745147705e-01 3.312332928180694580e-01 3.433378636837005615e-01 3.261148035526275635e-01 3.118156790733337402e-01 3.454025089740753174e-01 3.213244676589965820e-01 3.298230469226837158e-01
