         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.982   14.982 Experiment.py:234(load_experiment)
 12744604   11.206    0.000   14.702    0.000 ops.py:402(graph)
  1528944    3.451    0.000   14.569    0.000 variable_scope.py:1433(get_variable_scope)
  3057801    6.023    0.000   14.416    0.000 ag_ctx.py:61(__exit__)
 13762300   12.129    0.000   14.399    0.000 tensor_shape.py:185(__init__)
   221038    3.093    0.000   14.179    0.000 fromnumeric.py:3231(mean)
  2557541    5.324    0.000   14.130    0.000 ops.py:1160(shape)
   253530    1.057    0.000   14.130    0.000 <__array_function__ internals>:2(amax)
  1528821    6.058    0.000   14.016    0.000 data_adapter.py:235(can_handle)
  1528880    5.720    0.000   13.888    0.000 cache.py:43(has)
  1528959    3.008    0.000   13.843    0.000 ops.py:1625(internal_convert_to_tensor_or_composite)
 10891022    4.853    0.000   13.839    0.000 __init__.py:1298(info)
  1019229    2.488    0.000   13.782    0.000 data_adapter.py:275(<genexpr>)
  1019358   13.712    0.000   13.712    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_AddInputList}
  7135633   13.565    0.000   13.565    0.000 {built-in method tensorflow.python._pywrap_utils.IsNamedtuple}
   509683    3.438    0.000   13.530    0.000 monitoring.py:335(get_cell)
 12254689    9.312    0.000   13.444    0.000 function.py:2840(input_signature)
  1538100   13.208    0.000   13.208    0.000 weakref.py:431(__contains__)
  8672531    9.163    0.000   13.199    0.000 tensor_conversion_registry.py:114(get)
 14271948    8.966    0.000   13.178    0.000 ops.py:5117(_auto_cast_variable_read_dtype)
 17841769   13.132    0.000   13.134    0.000 op_def_registry.py:34(get)
  3057642    4.117    0.000   13.120    0.000 nest.py:104(assert_same_structure)
 12233352   10.334    0.000   13.087    0.000 errors_impl.py:117(__str__)
  7648127   10.471    0.000   13.017    0.000 context.py:239(pop)
  1019214    2.579    0.000   13.002    0.000 data_adapter.py:1549(_is_distributed_dataset)
  1528937    9.923    0.000   13.000    0.000 function.py:2728(__init__)
  1562833    4.495    0.000   12.979    0.000 <__array_function__ internals>:2(ndim)
 22937729   10.693    0.000   12.964    0.000 ops.py:3472(<genexpr>)
  3076029    8.930    0.000   12.916    0.000 iterator_ops.py:766(_type_spec)
 17330045    9.114    0.000   12.916    0.000 op_def_library.py:80(_IsListValue)
 15811000    5.960    0.000   12.885    0.000 {method 'extend' of 'list' objects}
       16    0.016    0.001   12.787    0.799 Experiment.py:159(<listcomp>)
   509611    1.106    0.000   12.773    0.000 nest.py:1403(list_to_tuple)
    16000    0.063    0.000   12.771    0.001 Hanabi.py:289(__init__)
  1012404    1.658    0.000   12.734    0.000 nest.py:1226(<listcomp>)
  4087756    6.829    0.000   12.685    0.000 tape.py:150(stop_recording)
  1528846    5.785    0.000   12.649    0.000 cache.py:50(__getitem__)
  1750083   12.480    0.000   12.520    0.000 threading.py:215(__init__)
  7145152   12.437    0.000   12.437    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
   249687    4.057    0.000   12.427    0.000 Experiment.py:71(<listcomp>)
 45878576   12.416    0.000   12.416    0.000 ops.py:397(dtype)
   509607    1.910    0.000   12.292    0.000 data_adapter.py:681(can_handle)
   253530    1.550    0.000   12.158    0.000 fromnumeric.py:2551(amax)
 24467192   12.140    0.000   12.140    0.000 traceable_stack.py:123(peek_traceable_objs)
  2038819   12.122    0.000   12.122    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphSetTensorShape_wrapper}
  1535432    3.877    0.000   12.107    0.000 object_identity.py:192(add)
 24466436   12.080    0.000   12.080    0.000 lock_util.py:108(<genexpr>)
  3567320    3.100    0.000   12.023    0.000 function.py:3246(<genexpr>)
    16000    0.594    0.000   11.898    0.001 Hanabi.py:129(__init__)
 10708768    4.886    0.000   11.821    0.000 tf_decorator.py:114(_has_tf_decorator_attr)
   509607    1.424    0.000   11.715    0.000 dataset_ops.py:3523(<listcomp>)
  3057888    4.396    0.000   11.638    0.000 __init__.py:1359(log)
  1019214    1.625    0.000   11.575    0.000 dataset_ops.py:2762(get_legacy_output_classes)
  1528832    1.626    0.000   11.475    0.000 op_def_library.py:695(<listcomp>)
  1019230    5.955    0.000   11.407    0.000 ops.py:1523(internal_convert_n_to_tensor)
 18345922   11.317    0.000   11.317    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceForData}
  6148980   11.282    0.000   11.282    0.000 {method 'format' of 'str' objects}
  1021164    1.512    0.000   11.214    0.000 data_adapter.py:1164(catch_stop_iteration)
  1528826   11.199    0.000   11.199    0.000 {tensorflow.python.framework.fast_tensor_util.AppendInt64ArrayToTensorProto}
   509896    0.832    0.000   11.164    0.000 ops.py:5314(colocate_with)
  1528944    2.916    0.000   11.119    0.000 variable_scope.py:1420(get_variable_scope_store)
   221038    3.828    0.000   11.086    0.000 _methods.py:134(_mean)
  1515228    5.414    0.000   11.076    0.000 nest.py:873(flatten_up_to)
 12455024   11.026    0.000   11.026    0.000 {built-in method builtins.max}
 12232924    8.044    0.000   11.014    0.000 registry.py:74(list)
   509607    1.971    0.000   10.971    0.000 dataset_ops.py:3147(_to_tensor_list)
  1985420    5.680    0.000   10.897    0.000 tensor_spec.py:90(__eq__)
110535388   10.890    0.000   10.890    0.000 pickle.py:523(persistent_id)
  1528844    5.333    0.000   10.851    0.000 tf_inspect.py:370(isfunction)
 41376280   10.691    0.000   10.691    0.000 {method 'pop' of 'dict' objects}
7644105/6115284    6.156    0.000   10.649    0.000 dataset_ops.py:2972(element_spec)
   254250    1.901    0.000   10.618    0.000 fromnumeric.py:73(_wrapreduction)
  5607150   10.550    0.000   10.550    0.000 op_def_library.py:737(<listcomp>)
 14781772    7.119    0.000   10.443    0.000 ops.py:3015(_variable_creator_stack)
   509896    1.453    0.000   10.332    0.000 ops.py:5291(_colocate_with_for_gradient)
   509612    4.558    0.000   10.292    0.000 tensor_shape.py:1136(most_specific_compatible_shape)
7134621/4586562    8.356    0.000   10.238    0.000 tensor_util.py:219(_GetDenseDimensions)
  2038815    7.776    0.000   10.181    0.000 context.py:1772(__exit__)
 18437609   10.179    0.000   10.179    0.000 {method 'pop' of 'list' objects}
   800000    3.355    0.000   10.125    0.000 Hanabi.py:90(__init__)
   509607    0.798    0.000   10.123    0.000 dataset_ops.py:3005(<lambda>)
  2048057    4.123    0.000   10.020    0.000 object_identity.py:186(__contains__)
 12743014    6.391    0.000   10.005    0.000 ops.py:2245(_add_control_inputs)
 12230813    7.969    0.000    9.936    0.000 tensor_shape.py:843(__len__)
  1528821    9.913    0.000    9.913    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FunctionSetAttrValueProto}
  1528933    1.582    0.000    9.857    0.000 function.py:384(__del__)
   510586    1.048    0.000    9.702    0.000 context.py:2310(async_wait)
 10706594    9.654    0.000    9.654    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationName}
38739192/38738952    9.618    0.000    9.629    0.000 {method 'update' of 'set' objects}
 39247903    9.615    0.000    9.615    0.000 {method 'startswith' of 'str' objects}
   509631    2.612    0.000    9.591    0.000 distribute_lib.py:2872(__exit__)
 37852880    9.578    0.000    9.578    0.000 {method 'items' of 'dict' objects}
  5616720    6.563    0.000    9.555    0.000 ops.py:1033(dtype)
 10733186    6.103    0.000    9.553    0.000 pickle.py:436(put)
   506606    0.680    0.000    9.515    0.000 <__array_function__ internals>:2(atleast_2d)
  4077382    5.905    0.000    9.495    0.000 tensor_shape.py:252(is_compatible_with)
   509683    2.578    0.000    9.491    0.000 monitoring.py:136(get_cell)
        1    0.270    0.270    9.490    9.490 _dill.py:268(load)
  1019214    1.438    0.000    9.415    0.000 dataset_ops.py:2779(get_legacy_output_shapes)
   509607    2.002    0.000    9.325    0.000 tensor_spec.py:190(_unbatch)
 44344059    9.260    0.000    9.260    0.000 tensor_shape.py:247(value)
  3059465    7.121    0.000    9.243    0.000 func_graph.py:740(internal_captures)
        1    9.220    9.220    9.220    9.220 _dill.py:472(load)
 77924821    9.198    0.000    9.198    0.000 multiarray.py:145(concatenate)
  9173693    6.829    0.000    9.197    0.000 tensor_shape.py:1191(<listcomp>)
 37212626    9.167    0.000    9.167    0.000 ops.py:2381(graph)
  7645165    6.680    0.000    9.076    0.000 ops.py:3972(get_collection_ref)
  1528890    3.920    0.000    9.028    0.000 math_ops.py:866(cast)
  3057642    9.001    0.000    9.003    0.000 {built-in method tensorflow.python._pywrap_utils.AssertSameStructureForData}
  7134504    6.205    0.000    8.929    0.000 structure.py:283(<listcomp>)
 14847125    8.841    0.000    8.841    0.000 {built-in method tensorflow.python._pywrap_utils.IsMutableMapping}
  1528975    8.831    0.000    8.831    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1528970    8.830    0.000    8.830    0.000 function.py:474(<listcomp>)
  1528824    3.087    0.000    8.726    0.000 structure.py:196(<listcomp>)
   510586    1.280    0.000    8.545    0.000 context.py:645(sync_executors)
 17851762    8.534    0.000    8.534    0.000 ops.py:3354(building_function)
 12237861    6.230    0.000    8.506    0.000 traceable_stack.py:127(__len__)
  1528839    4.127    0.000    8.455    0.000 config_lib.py:62(get_action)
  3057888    3.602    0.000    8.439    0.000 variable_scope.py:1202(set_use_resource)
   266207    3.783    0.000    8.397    0.000 Experiment.py:47(<listcomp>)
 10703737    8.328    0.000    8.328    0.000 op_def_library.py:64(_IsListParameter)
  1528970    4.338    0.000    8.326    0.000 function.py:356(_inference_name)
 10704916    6.241    0.000    8.278    0.000 control_flow_util.py:180(GetOutputContext)
1019246/1019231    4.176    0.000    8.277    0.000 nest.py:126(_packed_nest_with_indices)
  1528933    1.348    0.000    8.275    0.000 context.py:2351(remove_function)
  1528944    2.639    0.000    8.203    0.000 ops.py:6351(get_collection)
  3057801    3.438    0.000    8.182    0.000 ag_ctx.py:53(__enter__)
   506606    3.062    0.000    8.163    0.000 shape_base.py:83(atleast_2d)
  3592786    5.359    0.000    8.050    0.000 object_identity.py:183(_wrap_key)
 22504218    8.031    0.000    8.031    0.000 tensor_spec.py:68(dtype)
  1547817    3.316    0.000    8.030    0.000 object_identity.py:131(__getitem__)
  1528928    3.326    0.000    8.016    0.000 execute.py:201(make_shape)
  7135233    6.100    0.000    8.011    0.000 base.py:677(_lookup_dependency)
  1528862    2.894    0.000    8.010    0.000 tensor_util.py:280(_check_not_tensor)
 12233218    7.992    0.000    7.992    0.000 lock_util.py:119(__init__)
       16    7.988    0.499    7.988    0.499 {method 'clear' of 'list' objects}
 14271948    7.988    0.000    7.988    0.000 ops.py:5101(_distribution_strategy_stack)
   886276    1.786    0.000    7.975    0.000 iostream.py:320(_schedule_flush)
  3569476    5.303    0.000    7.931    0.000 weakref.py:428(get)
 32131617    7.916    0.000    7.922    0.000 object_identity.py:175(<genexpr>)
19341898/19320051    5.803    0.000    7.899    0.000 {built-in method builtins.issubclass}
  1528846    2.305    0.000    7.896    0.000 tf_inspect.py:335(getmodule)
 24467666    7.882    0.000    7.882    0.000 ops.py:3043(_check_not_finalized)
   509631    1.014    0.000    7.822    0.000 distribute_lib.py:791(scope)
 30716460    7.773    0.000    7.817    0.000 {method 'keys' of 'dict' objects}
  3076226    7.765    0.000    7.765    0.000 def_function.py:752(_get_tracing_count)
  8666012    7.756    0.000    7.756    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GetBuffer}
 30078028    7.537    0.000    7.537    0.000 ops.py:392(op)
 33642756    7.496    0.000    7.496    0.000 ops.py:2036(_get_control_flow_context)
  1529033    7.144    0.000    7.491    0.000 weakref.py:354(__init__)
 12233369    7.443    0.000    7.443    0.000 {built-in method sys.exc_info}
  3567781    5.040    0.000    7.413    0.000 context.py:1831(ensure_initialized)
  1019214    1.169    0.000    7.411    0.000 options.py:45(__ne__)
  3064555    4.408    0.000    7.404    0.000 training.py:328(<genexpr>)
  1771292    3.289    0.000    7.393    0.000 threading.py:1104(is_alive)
   509607    3.797    0.000    7.377    0.000 training.py:2453(_check_call_args)
 12235049    7.370    0.000    7.370    0.000 _collections_abc.py:698(__init__)
 10702484    5.448    0.000    7.367    0.000 inspect.py:81(ismethod)
 14273980    7.322    0.000    7.322    0.000 ops.py:4086(_name_stack)
  3057700    3.200    0.000    7.311    0.000 ag_ctx.py:35(control_status_ctx)
   833714    1.079    0.000    7.310    0.000 Hanabi.py:183(save)
   510586    7.265    0.000    7.265    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextSyncExecutors}
 21921385    7.218    0.000    7.218    0.000 ops.py:796(_as_tf_output)
  1528944    3.176    0.000    7.195    0.000 object_identity.py:223(__len__)
  1019835    1.376    0.000    7.153    0.000 distribution_strategy_context.py:215(get_strategy_and_replica_context)
 26224874    7.133    0.000    7.133    0.000 {method 'release' of '_thread.lock' objects}
  1541739    2.232    0.000    7.132    0.000 function.py:2632(_is_ndarray)
  3057756    4.195    0.000    7.121    0.000 os.py:742(encode)
   509607    1.427    0.000    7.072    0.000 data_adapter.py:529(can_handle)
   509607    3.507    0.000    7.001    0.000 iterator_ops.py:525(__init__)
  1528944    2.793    0.000    6.977    0.000 func_graph.py:1081(flatten)
  3569235    4.499    0.000    6.976    0.000 {method 'join' of 'str' objects}
  1562818    6.924    0.000    6.924    0.000 {method 'item' of 'numpy.generic' objects}
  3057903    2.400    0.000    6.924    0.000 func_graph.py:1023(<genexpr>)
  1019518    4.421    0.000    6.920    0.000 ops.py:2979(_variable_creator_scope)
  4590148    2.224    0.000    6.828    0.000 _asarray.py:16(asarray)
 10204625    5.387    0.000    6.812    0.000 tensor_shape.py:819(rank)
   509631    1.236    0.000    6.808    0.000 distribute_lib.py:2892(_scope)
   509614    6.805    0.000    6.805    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringGetCellBoolGauge1}
   256278    0.899    0.000    6.781    0.000 <__array_function__ internals>:2(argmax)
  4702875    3.468    0.000    6.752    0.000 pickle.py:652(save_long)
  1528933    1.954    0.000    6.676    0.000 context.py:1154(remove_function)
2040335/2040254    4.318    0.000    6.662    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
  6116985    5.778    0.000    6.645    0.000 inspect.py:159(isfunction)
  1528866    2.884    0.000    6.621    0.000 options.py:51(__setattr__)
  1529033    5.138    0.000    6.620    0.000 ops.py:4040(<listcomp>)
  5605683    4.684    0.000    6.601    0.000 structure.py:296(<listcomp>)
  1529224    2.992    0.000    6.598    0.000 tf_inspect.py:390(ismethod)
  1529145    6.553    0.000    6.553    0.000 {built-in method tensorflow.python._pywrap_tf_session.AddControlInput}
 13255895    6.498    0.000    6.498    0.000 {method 'lower' of 'str' objects}
 12759155    6.267    0.000    6.374    0.000 context.py:514(ensure_initialized)
 15292262    6.266    0.000    6.266    0.000 {built-in method _thread.get_ident}
  3057709    3.309    0.000    6.133    0.000 cache.py:92(_get_key)
  7134498    6.055    0.000    6.055    0.000 {built-in method _weakref.proxy}
   762891    4.090    0.000    6.049    0.000 Hanabi.py:262(<listcomp>)
  4336177    5.105    0.000    6.039    0.000 _dill.py:386(__missing__)
 22939750    6.035    0.000    6.035    0.000 ops.py:2307(outputs)
  2048575    6.034    0.000    6.034    0.000 data_adapter.py:1184(steps)
  1538121    2.202    0.000    6.021    0.000 tape.py:220(could_possibly_record)
  5607477    4.478    0.000    6.011    0.000 func_graph.py:1057(<genexpr>)
  6117489    6.004    0.000    6.004    0.000 ops.py:2801(name_from_scope_name)
  4077160    5.777    0.000    5.777    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  6168013    4.304    0.000    5.769    0.000 object_identity.py:63(__hash__)
  1234778    0.805    0.000    5.768    0.000 _asarray.py:88(asanyarray)
  3567249    2.378    0.000    5.759    0.000 nest.py:241(<listcomp>)
   509607    1.705    0.000    5.687    0.000 ops.py:2263(_add_control_input)
        4    0.000    0.000    5.600    1.400 training.py:1918(save)
        4    0.000    0.000    5.600    1.400 save.py:47(save_model)
        4    0.014    0.004    5.600    1.400 save.py:40(save)
 11726215    5.596    0.000    5.596    0.000 {method 'update' of 'dict' objects}
  1528852    2.953    0.000    5.591    0.000 inspect.py:714(getmodule)
  6159257    3.635    0.000    5.585    0.000 {method 'add' of 'set' objects}
   509631    2.379    0.000    5.573    0.000 distribute_lib.py:2853(__init__)
        4    0.002    0.001    5.571    1.393 save.py:788(save)
  4082873    5.524    0.000    5.524    0.000 {method 'WhichOneof' of 'google.protobuf.pyext._message.CMessage' objects}
 17327362    5.504    0.000    5.504    0.000 tensor_spec.py:63(shape)
        1    0.001    0.001    5.470    5.470 save.py:137(load_model)
  3057996    3.799    0.000    5.466    0.000 traceable_stack.py:131(copy)
  3057642    5.138    0.000    5.422    0.000 tracking.py:154(resource_tracker_scope)
   511031    1.609    0.000    5.418    0.000 context.py:2006(eager_mode)
  1019229    0.867    0.000    5.410    0.000 callbacks.py:235(<genexpr>)
 14778603    5.394    0.000    5.394    0.000 dataset_ops.py:216(_variant_tensor)
  2039063    5.376    0.000    5.376    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewBufferFromString}
  1528872    3.272    0.000    5.346    0.000 converter.py:174(__hash__)
 14271948    5.335    0.000    5.335    0.000 ops.py:3039(_variable_creator_stack)
  1537991    5.258    0.000    5.258    0.000 def_function.py:72(called_without_tracing)
 17842522    5.200    0.000    5.200    0.000 traceable_stack.py:121(<genexpr>)
  1538113    4.603    0.000    5.180    0.000 function.py:1844(<listcomp>)
  1530974    5.163    0.000    5.163    0.000 {method 'extend' of 'google.protobuf.pyext._message.RepeatedCompositeContainer' objects}
  1528961    2.108    0.000    5.148    0.000 function.py:1581(<listcomp>)
 19369205    5.088    0.000    5.132    0.000 {method 'values' of 'dict' objects}
  1533607    3.836    0.000    5.104    0.000 enum.py:267(__call__)
 13784142    5.069    0.000    5.069    0.000 function.py:2463(input_signature)
  4587031    4.066    0.000    5.056    0.000 memory.py:24(dismantle_ordered_dict)
   510321    5.019    0.000    5.019    0.000 {method 'copy' of 'numpy.ndarray' objects}
  9179818    5.014    0.000    5.014    0.000 {method 'replace' of 'str' objects}
   256278    0.887    0.000    5.012    0.000 fromnumeric.py:1112(argmax)
   509607    1.274    0.000    5.005    0.000 dataset_ops.py:565(_type_spec)
        4    0.006    0.001    5.003    1.251 save.py:1030(_build_meta_graph)
   509607    2.750    0.000    4.991    0.000 callbacks.py:247(_add_default_callbacks)
  4336122    4.990    0.000    4.990    0.000 {method '__reduce_ex__' of 'object' objects}
  7134498    4.959    0.000    4.959    0.000 tracking.py:186(__init__)
 26304438    4.944    0.000    4.944    0.000 {built-in method builtins.callable}
 18352119    4.908    0.000    4.908    0.000 tensor_shape.py:826(dims)
 12233596    4.899    0.000    4.900    0.000 ops.py:5061(<dictcomp>)
  1528871    4.842    0.000    4.876    0.000 converter.py:153(__init__)
        1    0.000    0.000    4.794    4.794 load.py:93(load)
        1    0.000    0.000    4.782    4.782 load.py:606(load_internal)
        1    0.000    0.000    4.775    4.775 load.py:176(__init__)
        1    0.000    0.000    4.774    4.774 load.py:112(__init__)
  1529584    3.205    0.000    4.745    0.000 function.py:1959(name)
  1528970    3.627    0.000    4.631    0.000 func_graph.py:735(external_captures)
  4336142    2.561    0.000    4.628    0.000 pickle.py:723(save_tuple)
   509622    2.385    0.000    4.543    0.000 callbacks.py:815(_implements_train_batch_hooks)
 14271948    4.508    0.000    4.508    0.000 ops.py:5133(_auto_cast_variable_read_dtype)
 13949032    4.491    0.000    4.491    0.000 __init__.py:1530(getEffectiveLevel)
        1    0.001    0.001    4.414    4.414 load.py:318(_restore_checkpoint)
 11214300    4.399    0.000    4.399    0.000 op_def_library.py:235(_MaybeColocateWith)
3030468/3030446    1.830    0.000    4.348    0.000 nest.py:750(assert_shallow_structure)
   509611    0.599    0.000    4.344    0.000 nest.py:1417(sequence_fn)
   509607    1.185    0.000    4.324    0.000 data_adapter.py:448(can_handle)
  5607150    4.262    0.000    4.307    0.000 op_def_library.py:89(<listcomp>)
   269525    2.374    0.000    4.301    0.000 Hanabi.py:339(next_turn)
  3057700    1.828    0.000    4.297    0.000 api.py:153(is_autograph_artifact)
        1    0.000    0.000    4.292    4.292 util.py:1213(restore)
 15298541    4.276    0.000    4.276    0.000 context.py:1718(context_switches)
  3030456    2.158    0.000    4.274    0.000 nest.py:954(<genexpr>)
  5606491    4.141    0.000    4.141    0.000 array_ops.py:1485(<genexpr>)
   256458    0.503    0.000    4.127    0.000 fromnumeric.py:55(_wrapfunc)
  1019229    0.473    0.000    4.074    0.000 data_adapter.py:550(<genexpr>)
  9191509    4.072    0.000    4.072    0.000 context.py:813(device_name)
  1528944    3.485    0.000    4.061    0.000 ops.py:3997(get_collection)
   253314    1.645    0.000    4.033    0.000 Experiment.py:61(<listcomp>)
  1528933    3.993    0.000    3.993    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextRemoveFunction}
   511757    0.595    0.000    3.983    0.000 tensor_shape.py:1121(assert_is_compatible_with)
  4079733    3.974    0.000    3.974    0.000 {method 'decode' of 'bytes' objects}
   509607    1.333    0.000    3.969    0.000 dataset_ops.py:2907(_graph_rewrite_configs)
  9191374    3.954    0.000    3.954    0.000 context.py:749(_handle)
   221044    1.051    0.000    3.929    0.000 threading.py:498(__init__)
   509607    0.879    0.000    3.919    0.000 dataset_ops.py:2920(_autotune_settings)
   123/83    0.001    0.000    3.892    0.047 def_function.py:583(wrapped_fn)
   509607    1.129    0.000    3.888    0.000 version_utils.py:114(disallow_legacy_graph)
 16336407    3.843    0.000    3.843    0.000 _dill.py:1515(is_dill)
   509648    1.014    0.000    3.818    0.000 distribution_strategy_context.py:199(has_strategy)
  6116576    3.770    0.000    3.802    0.000 traceable_stack.py:83(__init__)
  1528944    1.270    0.000    3.783    0.000 object_identity.py:225(<listcomp>)
  3057642    2.495    0.000    3.745    0.000 dataset_ops.py:2738(get_structure)
   509607    0.760    0.000    3.737    0.000 data_adapter.py:117(__init__)
  7646276    3.712    0.000    3.712    0.000 func_graph.py:427(outer_graph)
  1528821    1.959    0.000    3.683    0.000 dataset_ops.py:3366(<listcomp>)
  4076994    1.553    0.000    3.675    0.000 generic_utils.py:792(is_default)
  2552782    1.850    0.000    3.662    0.000 layer_utils.py:43(has_weights)
  1528846    2.371    0.000    3.638    0.000 inspect_utils.py:96(isconstructor)
  7137078    3.615    0.000    3.615    0.000 ops.py:5035(_device_function_stack)
1700/1572    0.007    0.000    3.612    0.002 def_function.py:1052(_get_concrete_function_garbage_collected)
   509622    1.559    0.000    3.601    0.000 data_adapter.py:535(_is_composite)
   509607    0.770    0.000    3.570    0.000 gen_dataset_ops.py:6628(<listcomp>)
   509630    1.055    0.000    3.567    0.000 tensor_util.py:804(constant_value)
  3062282    2.809    0.000    3.563    0.000 inspect.py:2781(<genexpr>)
   513857    0.494    0.000    3.557    0.000 _collections_abc.py:664(__contains__)
 17836465    3.519    0.000    3.519    0.000 tensor_spec.py:37(<lambda>)
1692/1564    0.003    0.000    3.497    0.002 def_function.py:1091(get_concrete_function)
  3057840    3.493    0.000    3.493    0.000 {method 'SetInParent' of 'google.protobuf.pyext._message.CMessage' objects}
  1528944    3.485    0.000    3.485    0.000 function.py:3061(<listcomp>)
    58/26    0.001    0.000    3.478    0.134 def_function.py:663(_initialize)
  6168013    3.470    0.000    3.470    0.000 object_identity.py:35(__init__)
    58/26    0.000    0.000    3.458    0.133 function.py:2850(_get_concrete_function_internal_garbage_collected)
510215/510144    1.463    0.000    3.437    0.000 tracking.py:440(wrapped)
   253314    1.078    0.000    3.434    0.000 Hanabi.py:276(score)
 1648/400    0.004    0.000    3.431    0.009 save_impl.py:546(get_concrete_function)
   256278    3.420    0.000    3.420    0.000 {method 'argmax' of 'numpy.ndarray' objects}
   509607    0.883    0.000    3.409    0.000 gen_dataset_ops.py:6697(<listcomp>)
  448/384    0.010    0.000    3.389    0.009 save_impl.py:401(add_trace)
  2039221    2.970    0.000    3.388    0.000 device.py:45(is_device_spec)
  1028155    3.377    0.000    3.377    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  3059104    3.357    0.000    3.358    0.000 object_identity.py:227(__iter__)
  1528970    2.776    0.000    3.347    0.000 func_graph.py:745(deferred_external_captures)
   795328    1.789    0.000    3.337    0.000 Hanabi.py:372(<dictcomp>)
   509607    0.927    0.000    3.315    0.000 training.py:2772(_disallow_inside_tf_function)
   510083    1.575    0.000    3.312    0.000 resource_variable_ops.py:317(_maybe_set_handle_data)
   509607    1.281    0.000    3.310    0.000 dataset_ops.py:3122(__init__)
  2043878    3.307    0.000    3.307    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsStopped}
   509607    0.579    0.000    3.268    0.000 gen_dataset_ops.py:895(<listcomp>)
  2548035    2.301    0.000    3.236    0.000 dataset_ops.py:4108(element_spec)
 27518853    3.191    0.000    3.191    0.000 options.py:59(<lambda>)
   509607    0.876    0.000    3.187    0.000 gen_dataset_ops.py:890(<listcomp>)
 12232924    3.183    0.000    3.183    0.000 control_flow_util.py:191(GetContainingWhileContext)
  4077630    3.173    0.000    3.173    0.000 context.py:823(_set_device)
  1019246    1.981    0.000    3.141    0.000 nest.py:53(_sequence_like)
     1024    0.002    0.000    3.124    0.003 save.py:141(list_functions)
512076/511654    1.178    0.000    3.123    0.000 data_structures.py:103(sticky_attribute_assignment)
  5607040    3.120    0.000    3.120    0.000 ops.py:452(<listcomp>)
  3057706    3.113    0.000    3.113    0.000 dtypes.py:103(as_numpy_dtype)
      760    0.003    0.000    3.113    0.004 save_impl.py:415(trace_with_training)
 12235323    3.099    0.000    3.099    0.000 ops.py:3148(_get_control_flow_context)
  7135738    3.099    0.000    3.099    0.000 {built-in method tensorflow.python._pywrap_utils.IsMapping}
       28    0.000    0.000    3.088    0.110 base_layer.py:3017(_list_functions_for_serialization)
       28    0.000    0.000    3.088    0.110 base_serialization.py:76(list_functions_for_serialization)
  1528944    2.578    0.000    3.071    0.000 func_graph.py:750(deferred_internal_captures)
  1771292    1.602    0.000    3.050    0.000 threading.py:1062(_wait_for_tstate_lock)
  7135677    3.047    0.000    3.049    0.000 {built-in method tensorflow.python._pywrap_utils.IsCompositeTensor}
  7135627    3.026    0.000    3.026    0.000 {built-in method tensorflow.python._pywrap_utils.IsMappingView}
  2548824    1.444    0.000    3.017    0.000 tensor_shape.py:838(ndims)
  139/111    0.004    0.000    2.993    0.027 base_layer.py:875(__call__)
  5616816    2.992    0.000    2.992    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
        4    0.000    0.000    2.962    0.741 signature_serialization.py:71(find_function_to_export)
        4    0.000    0.000    2.962    0.740 training.py:2581(_list_functions_for_serialization)
  4587421    2.331    0.000    2.961    0.000 tensor_shape.py:704(as_dimension)
  2548035    2.174    0.000    2.951    0.000 dataset_ops.py:4058(element_spec)
  1532083    2.944    0.000    2.944    0.000 weakref.py:406(__setitem__)
  7135740    2.925    0.000    2.925    0.000 {built-in method tensorflow.python._pywrap_utils.IsAttrs}
  7134498    2.916    0.000    2.916    0.000 tracking.py:199(__del__)
  1538121    2.910    0.000    2.910    0.000 function.py:271(__exit__)
  2038815    2.903    0.000    2.903    0.000 context.py:1733(__init__)
   104/64    0.002    0.000    2.884    0.045 save_impl.py:511(wrapper)
  4586811    2.803    0.000    2.870    0.000 function.py:3760(__init__)
  212/196    0.001    0.000    2.849    0.015 layer_serialization.py:81(_get_serialized_attributes)
       24    0.000    0.000    2.847    0.119 layer_serialization.py:77(functions_to_serialize)
        4    0.000    0.000    2.845    0.711 model_serialization.py:45(_get_serialized_attributes_internal)
