         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2045724   12.540    0.000  835.384    0.000 array_ops.py:244(identity)
 16312376  762.037    0.000  830.341    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
  2045724   13.984    0.000  802.873    0.000 gen_array_ops.py:3973(identity)
   509607    1.764    0.000  757.897    0.001 data_adapter.py:393(grab_batch)
   509622    2.297    0.000  745.541    0.001 data_adapter.py:394(<lambda>)
   509622    4.661    0.000  741.869    0.001 array_ops.py:4589(gather)
   509622   11.452    0.000  733.581    0.001 gen_array_ops.py:3790(gather_v2)
70873246/46905825   35.896    0.000  677.083    0.000 contextlib.py:79(__enter__)
  1528970   12.719    0.000  656.443    0.000 function.py:597(__init__)
  1528970  100.021    0.000  635.104    0.000 function.py:412(__init__)
  1019214    2.982    0.000  631.030    0.001 dataset_ops.py:569(from_tensors)
  1019214   11.555    0.000  628.047    0.001 dataset_ops.py:2980(__init__)
        5    0.941    0.188  596.866  119.373 _dill.py:253(dump)
        5    0.000    0.000  595.924  119.185 _dill.py:414(dump)
        5    0.000    0.000  595.924  119.185 pickle.py:398(dump)
110535388/5  199.435    0.000  595.924  119.185 pickle.py:457(save)
951288/13    1.360    0.000  595.923   45.840 pickle.py:774(save_list)
951288/13    7.658    0.000  595.922   45.840 pickle.py:787(_batch_appends)
5445469/16230   27.750    0.000  595.342    0.037 _dill.py:903(save_module_dict)
5445469/16230    9.971    0.000  595.196    0.037 pickle.py:814(save_dict)
5445469/16230   46.697    0.000  595.095    0.037 pickle.py:827(_batch_setitems)
4336142/79242   20.169    0.000  594.011    0.007 pickle.py:539(save_reduce)
  4586574  150.242    0.000  575.899    0.000 tensor_util.py:360(make_tensor_proto)
   509619    2.374    0.000  558.799    0.001 array_ops.py:59(reshape)
  7134498   88.512    0.000  550.129    0.000 dataset_ops.py:186(__init__)
 14271948  104.167    0.000  548.677    0.000 func_graph.py:365(inner_cm)
   509619    4.885    0.000  540.860    0.001 gen_array_ops.py:8143(reshape)
   509607    2.172    0.000  498.074    0.001 dataset_ops.py:606(from_tensor_slices)
   509607   11.114    0.000  495.902    0.001 dataset_ops.py:2999(__init__)
   509607    1.736    0.000  488.024    0.001 dataset_ops.py:1002(concatenate)
   509607   11.157    0.000  486.288    0.001 dataset_ops.py:3504(__init__)
        4    0.007    0.002  480.479  120.120 Experiment.py:213(save_status)
  1051182    2.728    0.000  467.967    0.000 callbacks.py:281(_call_batch_hook)
  1051182   10.420    0.000  457.414    0.000 callbacks.py:332(_call_batch_hook_helper)
   525591    2.481    0.000  436.672    0.001 callbacks.py:432(on_train_batch_end)
   525591    2.339    0.000  432.396    0.001 callbacks.py:302(_call_batch_end_hook)
   509609    6.593    0.000  426.079    0.001 gen_math_ops.py:7268(_range)
935910105/935902404  251.463    0.000  422.496    0.000 {built-in method builtins.isinstance}
  1019214    8.517    0.000  383.795    0.000 gen_dataset_ops.py:6595(tensor_dataset)
 12233596  120.503    0.000  376.902    0.000 ops.py:3521(_create_op_helper)
   509607   10.642    0.000  368.648    0.001 iterator_ops.py:531(__del__)
  4076856    8.599    0.000  359.704    0.000 dataset_ops.py:2956(__init__)
 20439329   17.545    0.000  358.529    0.000 nest.py:536(pack_sequence_as)
   525591    1.394    0.000  358.045    0.001 callbacks.py:960(on_train_batch_end)
   525591    6.126    0.000  356.650    0.001 callbacks.py:999(_batch_update_progbar)
  7135974   46.163    0.000  353.953    0.000 func_graph.py:362(as_default)
 20948940   61.387    0.000  351.436    0.000 nest.py:496(_pack_sequence_as)
   509607    7.863    0.000  350.591    0.001 gen_dataset_ops.py:853(concatenate_dataset)
70873246/46907654   97.144    0.000  348.169    0.000 contextlib.py:85(__exit__)
   509607    7.534    0.000  338.539    0.001 gen_dataset_ops.py:6664(tensor_slice_dataset)
 12233192  206.351    0.000  337.560    0.000 ops.py:1737(_NodeDef)
   526581   27.042    0.000  328.139    0.001 generic_utils.py:528(update)
 15292060   29.620    0.000  323.391    0.000 tf_stack.py:131(extract_stack)
 12233192  320.026    0.000  320.026    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
 36698656   39.985    0.000  318.908    0.000 object_identity.py:195(update)
   509607    2.846    0.000  315.433    0.001 gen_dataset_ops.py:1262(delete_iterator)
 15292060  287.466    0.000  287.505    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
  1529033   45.587    0.000  286.107    0.000 func_graph.py:165(__init__)
 14274192   76.854    0.000  284.629    0.000 ops.py:5580(get_controller)
   509607    2.749    0.000  275.172    0.001 gen_dataset_ops.py:2003(flat_map_dataset)
70873246/70873244   99.948    0.000  272.542    0.000 contextlib.py:157(helper)
  3057960   13.194    0.000  272.428    0.000 func_graph.py:69(convert_structure_to_signature)
 36698656  191.398    0.000  269.026    0.000 object_identity.py:196(<listcomp>)
  7134996   54.143    0.000  263.450    0.000 base.py:800(_track_trackable)
  1528937   12.667    0.000  263.062    0.000 function.py:3632(decorated)
   509607    6.385    0.000  237.798    0.000 dataset_ops.py:356(_apply_options)
  2548035    4.160    0.000  232.292    0.000 dataset_ops.py:2967(__init__)
 78086330   47.915    0.000  228.606    0.000 nest.py:274(flatten)
  3068683   44.182    0.000  227.711    0.000 function.py:2977(_cache_key)
   221044    2.697    0.000  225.110    0.001 iostream.py:334(flush)
 24025939   62.337    0.000  219.910    0.000 Hanabi.py:159(toarray)
  1019214    2.461    0.000  219.323    0.000 dataset_ops.py:1128(repeat)
  7135982   23.905    0.000  217.991    0.000 tf_contextlib.py:25(contextmanager)
  1019214   11.635    0.000  216.862    0.000 dataset_ops.py:3552(__init__)
 11938136   18.041    0.000  201.482    0.000 Experiment.py:93(<lambda>)
  1528937   18.470    0.000  200.835    0.000 function.py:2767(__init__)
32622145/24977369   48.835    0.000  200.469    0.000 {built-in method builtins.any}
184519281   68.203    0.000  198.631    0.000 ops.py:2376(type)
  6626657   45.861    0.000  197.164    0.000 ops.py:3868(_get_op_def)
   509607    2.820    0.000  194.237    0.000 gen_dataset_ops.py:3036(map_dataset)
   509607    6.186    0.000  190.939    0.000 dataset_ops.py:4375(__init__)
   509607    2.460    0.000  190.766    0.000 gen_dataset_ops.py:5057(parallel_map_dataset_v2)
  1529039   89.060    0.000  187.550    0.000 ops.py:2862(__init__)
   509607    2.240    0.000  186.349    0.000 dataset_ops.py:920(range)
   509607    8.818    0.000  184.109    0.000 dataset_ops.py:3570(__init__)
 78086330  175.865    0.000  180.691    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
  7136843   22.742    0.000  180.665    0.000 ops.py:6458(__enter__)
 40890359  179.591    0.000  179.591    0.000 {method 'acquire' of '_thread.lock' objects}
